ATL,2005
9,Rajon Rondo,PG,6-1,186,February 22 1986,5,University of Kentucky,BOS,2012
54,Greg Stiemsma,C,6-11,260,September 26 1985,R,University of Wisconsin,BOS,2012
44,Chris Wilcox,C,6-10,221,September 3 1982,9,University of Maryland,BOS,2012
56,Sean Williams,C,6-10,235,September 13 1986,3,Boston College,BOS,2012
BOS,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2013
12,Leandro Barbosa,PG,6-3,194,November 28 1982,9,,BOS,2013
30,Brandon Bass,PF,6-8,250,April 30 1985,7,Louisiana State University,BOS,2013
0,Avery Bradley,PG,6-2,180,November 26 1990,2,University of Texas at Austin,BOS,2013
98,Jason Collins,C,7-0,255,December 2 1978,11,Stanford University,BOS,2013
27,Jordan Crawford,SG,6-4,195,October 23 1988,2,Xavier University,BOS,2013
5,Kevin Garnett,C,6-11,240,May 19 1976,17,,BOS,2013
8,Jeff Green,PF,6-9,235,August 28 1986,4,Georgetown University,BOS,2013
43,Kris Joseph,SF,6-7,210,December 17 1988,R,Syracuse University,BOS,2013
11,Courtney Lee,SG,6-5,200,October 3 1985,4,Western Kentucky University,BOS,2013
13,Fab Melo,C,7-0,255,June 20 1990,R,Syracuse University,BOS,2013
99,Darko Milicic,C,7-0,250,June 20 1985,9,,BOS,2013
34,Paul Pierce,SF,6-7,235,October 13 1977,14,University of Kansas,BOS,2013
42,Shavlik Randolph,PF,6-10,240,November 24 1983,5,Duke University,BOS,2013
9,Rajon Rondo,PG,6-1,186,February 22 1986,6,University of Kentucky,BOS,2013
7,Jared Sullinger,PF,6-9,260,March 4 1992,R,Ohio State University,BOS,2013
4,Jason Terry,SG,6-2,185,September 15 1977,13,University of Arizona,BOS,2013
41,Jarvis Varnado,PF,6-9,230,March 1 1988,R,Mississippi State University,BOS,2013
12,D.J. White,PF,6-9,251,August 31 1986,4,Indiana University,BOS,2013
44,Chris Wilcox,C,6-10,221,September 3 1982,10,University of Maryland,BOS,2013
55,Terrence Williams,SF,6-6,220,June 28 1987,3,University of Louisville,BOS,2013
BOS,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2014
50,Joel Anthony,C,6-9,245,August 9 1982,6,University of Nevada Las Vegas,BOS,2014
52,Chris Babb,SG,6-5,225,February 14 1990,R,Iowa State University,BOS,2014
30,Brandon Bass,PF,6-8,250,April 30 1985,8,Louisiana State University,BOS,2014
11,Jerryd Bayless,PG,6-3,200,August 20 1988,5,University of Arizona,BOS,2014
13,Vander Blue,SG,6-4,200,July 17 1992,R,Marquette University,BOS,2014
4,Keith Bogans,SG,6-5,215,May 12 1980,10,University of Kentucky,BOS,2014
0,Avery Bradley,PG,6-2,180,November 26 1990,3,University of Texas at Austin,BOS,2014
12,MarShon Brooks,SG,6-5,200,January 26 1989,2,Providence College,BOS,2014
27,Jordan Crawford,SG,6-4,195,October 23 1988,3,Xavier University,BOS,2014
38,Vitor Faverani,C,6-11,260,May 5 1988,R,,BOS,2014
8,Jeff Green,SF,6-9,235,August 28 1986,5,Georgetown University,BOS,2014
43,Kris Humphries,PF,6-9,235,February 6 1985,9,University of Minnesota,BOS,2014
12,Chris Johnson,SF,6-6,206,April 29 1990,1,University of Dayton,BOS,2014
11,Courtney Lee,SG,6-5,200,October 3 1985,5,Western Kentucky University,BOS,2014
41,Kelly Olynyk,C,7-0,238,April 19 1991,R,Gonzaga University,BOS,2014
26,Phil Pressey,PG,5-11,175,February 17 1991,R,University of Missouri,BOS,2014
9,Rajon Rondo,PG,6-1,186,February 22 1986,7,University of Kentucky,BOS,2014
7,Jared Sullinger,PF,6-9,260,March 4 1992,1,Ohio State University,BOS,2014
45,Gerald Wallace,SF,6-7,215,July 23 1982,12,University of Alabama,BOS,2014
BOS,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2015
30,Brandon Bass,PF,6-8,250,April 30 1985,9,Louisiana State University,BOS,2015
0,Avery Bradley,SG,6-2,180,November 26 1990,4,University of Texas at Austin,BOS,2015
99,Jae Crowder,SF,6-6,235,July 6 1990,2,Marquette University,BOS,2015
70,Luigi Datome,SF,6-8,215,November 27 1987,1,,BOS,2015
8,Jeff Green,SF,6-9,235,August 28 1986,6,Georgetown University,BOS,2015
8,Jonas Jerebko,PF,6-10,231,March 2 1987,4,,BOS,2015
28,Jameer Nelson,PG,6-0,190,February 9 1982,10,Saint Joseph's University,BOS,2015
41,Kelly Olynyk,C,7-0,238,April 19 1991,1,Gonzaga University,BOS,2015
12,Dwight Powell,PF,6-11,240,July 20 1991,R,Stanford University,BOS,2015
26,Phil Pressey,PG,5-11,175,February 17 1991,1,University of Missouri,BOS,2015
12,Tayshaun Prince,SF,6-9,212,February 28 1980,12,University of Kentucky,BOS,2015
42,Shavlik Randolph,PF,6-10,240,November 24 1983,7,Duke University,BOS,2015
9,Rajon Rondo,PG,6-1,186,February 22 1986,8,University of Kentucky,BOS,2015
36,Marcus Smart,PG,6-4,220,March 6 1994,R,Oklahoma State University,BOS,2015
7,Jared Sullinger,PF,6-9,260,March 4 1992,2,Ohio State University,BOS,2015
4,Isaiah Thomas,PG,5-9,185,February 7 1989,3,University of Washington,BOS,2015
4,Marcus Thornton,SG,6-4,205,June 5 1987,5,Louisiana State University,BOS,2015
11,Evan Turner,SG,6-7,220,October 27 1988,4,Ohio State University,BOS,2015
45,Gerald Wallace,SF,6-7,215,July 23 1982,13,University of Alabama,BOS,2015
12,Brandan Wright,PF,6-10,210,October 5 1987,6,University of North Carolina,BOS,2015
13,James Young,SG,6-6,215,August 16 1995,R,University of Kentucky,BOS,2015
44,Tyler Zeller,C,7-0,253,January 17 1990,2,University of North Carolina,BOS,2015
BRK,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BRK,2013
0,Andray Blatche,C,6-11,235,August 22 1986,7,,BRK,2013
10,Keith Bogans,SG,6-5,215,May 12 1980,9,University of Kentucky,BRK,2013
9,MarShon Brooks,SG,6-5,200,January 26 1989,1,Providence College,BRK,2013
2,Josh Childress,SF,6-8,210,June 20 1983,6,Stanford University,BRK,2013
30,Reggie Evans,PF,6-8,245,May 18 1980,10,University of Iowa,BRK,2013
43,Kris Humphries,PF,6-9,235,February 6 1985,8,University of Minnesota,BRK,2013
14,Damion James,SF,6-7,225,October 7 1987,2,University of Texas at Austin,BRK,2013
7,Joe Johnson,SG,6-7,240,June 29 1981,11,University of Arkansas,BRK,2013
24,Kris Joseph,SF,6-7,210,December 17 1988,R,Syracuse University,BRK,2013
11,Brook Lopez,C,7-0,275,April 1 1988,4,Stanford University,BRK,2013
20,Tornike Shengelia,SF,6-9,217,October 5 1991,R,,BRK,2013
42,Jerry Stackhouse,SF,6-6,218,November 5 1974,17,University of North Carolina,BRK,2013
41,Tyshawn Taylor,PG,6-3,185,April 12 1990,R,University of Kansas,BRK,2013
33,Mirza Teletovic,PF,6-9,242,September 18 1985,R,,BRK,2013
45,Gerald Wallace,SF,6-7,215,July 23 1982,11,University of Alabama,BRK,2013
1,C.J. Watson,PG,6-2,175,April 17 1984,5,University of Tennessee,BRK,2013
8,Deron Williams,PG,6-3,200,June 26 1984,7,University of Illinois at Urbana-Champaign,BRK,2013
BRK,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BRK,2014
6,Alan Anderson,SF,6-6,220,October 16 1982,4,Michigan State University,BRK,2014
0,Andray Blatche,PF,6-11,235,August 22 1986,8,,BRK,2014
98,Jason Collins,C,7-0,255,December 2 1978,12,Stanford University,BRK,2014
30,Reggie Evans,PF,6-8,245,May 18 1980,11,University of Iowa,BRK,2014
2,Kevin Garnett,C,6-11,240,May 19 1976,18,,BRK,2014
13,Jorge Gutierrez,PG,6-3,191,December 27 1988,R,University of California,BRK,2014
7,Joe Johnson,SG,6-7,240,June 29 1981,12,University of Arkansas,BRK,2014
47,Andrei Kirilenko,PF,6-9,220,February 18 1981,11,,BRK,2014
14,Shaun Livingston,PG,6-7,182,September 11 1985,8,,BRK,2014
11,Brook Lopez,C,7-0,275,April 1 1988,5,Stanford University,BRK,2014
34,Paul Pierce,SF,6-7,235,October 13 1977,15,University of Kansas,BRK,2014
1,Mason Plumlee,PF,6-11,245,March 5 1990,R,Duke University,BRK,2014
20,Tornike Shengelia,SF,6-9,217,October 5 1991,1,,BRK,2014
10,Tyshawn Taylor,PG,6-3,185,April 12 1990,1,University of Kansas,BRK,2014
12,Marquis Teague,SG,6-2,189,February 28 1993,1,University of Kentucky,BRK,2014
33,Mirza Teletovic,SF,6-9,242,September 18 1985,1,,BRK,2014
31,Jason Terry,PG,6-2,185,September 15 1977,14,University of Arizona,BRK,2014
10,Marcus Thornton,SG,6-4,205,June 5 1987,4,Louisiana State University,BRK,2014
8,Deron Williams,PG,6-3,200,June 26 1984,8,University of Illinois at Urbana-Champaign,BRK,2014
BRK,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BRK,2015
6,Alan Anderson,SG,6-6,220,October 16 1982,5,Michigan State University,BRK,2015
44,Bojan Bogdanovic,SF,6-8,216,April 18 1989,R,,BRK,2015
22,Markel Brown,SG,6-3,190,January 29 1992,R,Oklahoma State University,BRK,2015
55,Earl Clark,PF,6-10,225,January 17 1988,5,University of Louisville,BRK,2015
20,Brandon Davies,PF,6-10,240,July 25 1991,1,Brigham Young University,BRK,2015
2,Kevin Garnett,PF,6-11,240,May 19 1976,19,,BRK,2015
13,Jorge Gutierrez,PG,6-3,191,December 27 1988,1,University of California,BRK,2015
0,Jarrett Jack,PG,6-3,200,October 28 1983,9,Georgia Institute of Technology,BRK,2015
21,Cory Jefferson,PF,6-9,218,December 26 1990,R,Baylor University,BRK,2015
7,Joe Johnson,SG,6-7,240,June 29 1981,13,University of Arkansas,BRK,2015
9,Jerome Jordan,C,7-0,253,September 29 1986,1,University of Tulsa,BRK,2015
10,Sergey Karasev,SG,6-7,208,October 26 1993,1,,BRK,2015
47,Andrei Kirilenko,SF,6-9,220,February 18 1981,12,,BRK,2015
11,Brook Lopez,C,7-0,275,April 1 1988,6,Stanford University,BRK,2015
14,Darius Morris,PG,6-4,190,January 3 1991,3,University of Michigan,BRK,2015
1,Mason Plumlee,C,6-11,245,March 5 1990,1,Duke University,BRK,2015
33,Mirza Teletovic,PF,6-9,242,September 18 1985,2,,BRK,2015
8,Deron Williams,PG,6-3,200,June 26 1984,9,University of Illinois at Urbana-Champaign,BRK,2015
30,Thaddeus Young,PF,6-8,221,June 21 1988,7,Georgia Institute of Technology,BRK,2015
CHA,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2005
12,Cory Alexander,SG,6-1,185,June 22 1973,6,University of Virginia,CHA,2005
35,Malik Allen,PF,6-10,255,June 27 1978,3,Villanova University,CHA,2005
10,Keith Bogans,SG,6-5,215,May 12 1980,1,University of Kentucky,CHA,2005
7,Primoz Brezec,C,7-2,252,October 2 1979,3,,CHA,2005
13,Matt Carroll,SG,6-6,212,August 28 1980,1,University of Notre Dame,CHA,2005
2,Melvin Ely,PF,6-10,260,May 2 1978,2,California State University Fresno,CHA,2005
1,Jason Hart,PG,6-3,185,April 29 1978,3,Syracuse University,CHA,2005
5,Eddie House,SG,6-1,180,May 14 1978,4,Arizona State University,CHA,2005
24,Jason Kapono,SF,6-8,213,February 4 1981,1,University of California Los Angeles,CHA,2005
22,Brevin Knight,PG,5-10,173,November 8 1975,7,Stanford University,CHA,2005
50,Emeka Okafor,PF,6-10,252,September 28 1982,R,University of Connecticut,CHA,2005
21,Bernard Robinson,SG,6-6,210,December 26 1980,R,University of Michigan,CHA,2005
4,Kareem Rush,SG,6-6,215,October 30 1980,2,University of Missouri,CHA,2005
31,Jamal Sampson,PF,6-11,235,May 15 1983,2,University of California,CHA,2005
32,Tamar Slay,SG,6-8,215,April 2 1980,2,Marshall University,CHA,2005
8,Steve Smith,SG,6-7,200,March 31 1969,13,Michigan State University,CHA,2005
0,Theron Smith,SF,6-8,225,October 3 1980,1,Ball State University,CHA,2005
3,Gerald Wallace,SF,6-7,215,July 23 1982,3,University of Alabama,CHA,2005
55,Jahidi White,C,6-9,290,February 19 1976,6,Georgetown University,CHA,2005
CHA,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2006
15,Alan Anderson,SF,6-6,220,October 16 1982,R,Michigan State University,CHA,2006
35,Lonny Baxter,PF,6-8,260,January 27 1979,3,University of Maryland,CHA,2006
10,Keith Bogans,SG,6-5,215,May 12 1980,2,University of Kentucky,CHA,2006
7,Primoz Brezec,C,7-2,252,October 2 1979,4,,CHA,2006
12,Kevin Burleson,PG,6-3,205,April 9 1979,R,University of Minnesota,CHA,2006
13,Matt Carroll,SG,6-6,212,August 28 1980,2,University of Notre Dame,CHA,2006
2,Melvin Ely,PF,6-10,260,May 2 1978,3,California State University Fresno,CHA,2006
20,Raymond Felton,PG,6-1,205,June 26 1984,R,University of North Carolina,CHA,2006
33,Jumaine Jones,PF,6-8,218,February 10 1979,6,University of Georgia,CHA,2006
22,Brevin Knight,PG,5-10,173,November 8 1975,8,Stanford University,CHA,2006
42,Sean May,PF,6-9,266,April 4 1984,R,University of North Carolina,CHA,2006
50,Emeka Okafor,PF,6-10,252,September 28 1982,1,University of Connecticut,CHA,2006
21,Bernard Robinson,SF,6-6,210,December 26 1980,1,University of Michigan,CHA,2006
4,Kareem Rush,SG,6-6,215,October 30 1980,3,University of Missouri,CHA,2006
43,Jake Voskuhl,C,6-11,245,November 1 1977,5,University of Connecticut,CHA,2006
3,Gerald Wallace,SF,6-7,215,July 23 1982,4,University of Alabama,CHA,2006
CHA,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2007
15,Alan Anderson,SG,6-6,220,October 16 1982,1,Michigan State University,CHA,2007
23,Derek Anderson,SF,6-5,194,July 18 1974,9,University of Kentucky,CHA,2007
7,Primoz Brezec,C,7-2,252,October 2 1979,5,,CHA,2007
13,Matt Carroll,SG,6-6,212,August 28 1980,3,University of Notre Dame,CHA,2007
2,Melvin Ely,PF,6-10,260,May 2 1978,4,California State University Fresno,CHA,2007
20,Raymond Felton,PG,6-1,205,June 26 1984,1,University of North Carolina,CHA,2007
24,Othella Harrington,PF,6-9,235,January 31 1974,10,Georgetown University,CHA,2007
5,Walter Herrmann,PF,6-9,225,June 26 1979,R,,CHA,2007
1,Ryan Hollins,C,7-0,240,October 10 1984,R,University of California Los Angeles,CHA,2007
22,Brevin Knight,PG,5-10,173,November 8 1975,9,Stanford University,CHA,2007
42,Sean May,PF,6-9,266,April 4 1984,1,University of North Carolina,CHA,2007
0,Jeff McInnis,PG,6-4,190,October 22 1974,9,University of North Carolina,CHA,2007
35,Adam Morrison,PF,6-8,205,July 19 1984,R,Gonzaga University,CHA,2007
50,Emeka Okafor,C,6-10,252,September 28 1982,2,University of Connecticut,CHA,2007
21,Bernard Robinson,SG,6-6,210,December 26 1980,2,University of Michigan,CHA,2007
43,Jake Voskuhl,C,6-11,245,November 1 1977,6,University of Connecticut,CHA,2007
3,Gerald Wallace,SF,6-7,215,July 23 1982,5,University of Alabama,CHA,2007
55,Eric Williams,SF,6-8,220,July 17 1972,11,Providence College,CHA,2007
CHA,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2008
1,Derek Anderson,SG,6-5,194,July 18 1974,10,University of Kentucky,CHA,2008
11,Earl Boykins,PG,5-5,135,June 2 1976,9,Eastern Michigan University,CHA,2008
7,Primoz Brezec,C,7-2,252,October 2 1979,6,,CHA,2008
13,Matt Carroll,SG,6-6,212,August 28 1980,4,University of Notre Dame,CHA,2008
33,Jermareo Davidson,SF,6-10,230,November 15 1984,R,University of Alabama,CHA,2008
4,Jared Dudley,PF,6-7,225,July 10 1985,R,Boston College,CHA,2008
20,Raymond Felton,PG,6-1,205,June 26 1984,2,University of North Carolina,CHA,2008
24,Othella Harrington,C,6-9,235,January 31 1974,11,Georgetown University,CHA,2008
5,Walter Herrmann,PF,6-9,225,June 26 1979,1,,CHA,2008
15,Ryan Hollins,PF,7-0,240,October 10 1984,1,University of California Los Angeles,CHA,2008
0,Jeff McInnis,PG,6-4,190,October 22 1974,10,University of North Carolina,CHA,2008
6,Nazr Mohammed,C,6-10,221,September 5 1977,9,University of Kentucky,CHA,2008
50,Emeka Okafor,C,6-10,252,September 28 1982,3,University of Connecticut,CHA,2008
23,Jason Richardson,SF,6-6,220,January 20 1981,6,Michigan State University,CHA,2008
3,Gerald Wallace,PF,6-7,215,July 23 1982,6,University of Alabama,CHA,2008
CHA,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2009
21,Alexis Ajinca,PF,7-2,248,May 6 1988,R,,CHA,2009
14,D.J. Augustin,PG,6-0,183,November 10 1987,R,University of Texas at Austin,CHA,2009
19,Raja Bell,SG,6-5,204,September 19 1976,8,Florida International University,CHA,2009
1,Andre Brown,PF,6-9,245,May 12 1981,2,DePaul University,CHA,2009
12,Shannon Brown,SG,6-4,205,November 29 1985,2,Michigan State University,CHA,2009
13,Matt Carroll,SG,6-6,212,August 28 1980,5,University of Notre Dame,CHA,2009
32,Boris Diaw,PF,6-8,250,April 16 1982,5,,CHA,2009
7,DeSagana Diop,C,7-0,300,January 30 1982,7,,CHA,2009
4,Jared Dudley,SF,6-7,225,July 10 1985,1,Boston College,CHA,2009
20,Raymond Felton,PG,6-1,205,June 26 1984,3,University of North Carolina,CHA,2009
15,Ryan Hollins,C,7-0,240,October 10 1984,2,University of California Los Angeles,CHA,2009
5,Juwan Howard,SF,6-9,240,February 7 1973,14,University of Michigan,CHA,2009
2,Dontell Jefferson,SG,6-5,195,December 15 1983,R,University of Arkansas,CHA,2009
43,Linton Johnson,PF,6-8,205,June 13 1980,5,Tulane University,CHA,2009
27,Dwayne Jones,PF,6-11,250,June 9 1983,3,Saint Joseph's University,CHA,2009
1,Cartier Martin,SF,6-7,220,November 20 1984,R,Kansas State University,CHA,2009
42,Sean May,PF,6-9,266,April 4 1984,2,University of North Carolina,CHA,2009
6,Nazr Mohammed,C,6-10,221,September 5 1977,10,University of Kentucky,CHA,2009
35,Adam Morrison,SF,6-8,205,July 19 1984,1,Gonzaga University,CHA,2009
50,Emeka Okafor,C,6-10,252,September 28 1982,4,University of Connecticut,CHA,2009
10,Vladimir Radmanovic,SF,6-10,227,November 19 1980,7,,CHA,2009
23,Jason Richardson,SG,6-6,220,January 20 1981,7,Michigan State University,CHA,2009
44,Sean Singletary,PG,6-0,185,September 6 1985,R,University of Virginia,CHA,2009
3,Gerald Wallace,SF,6-7,215,July 23 1982,7,University of Alabama,CHA,2009
CHA,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2010
21,Alexis Ajinca,C,7-2,248,May 6 1988,1,,CHA,2010
14,D.J. Augustin,PG,6-0,183,November 10 1987,1,University of Texas at Austin,CHA,2010
19,Raja Bell,SG,6-5,204,September 19 1976,9,Florida International University,CHA,2010
4,Derrick Brown,SF,6-7,225,September 8 1987,R,Xavier University,CHA,2010
6,Tyson Chandler,C,7-1,240,October 2 1982,8,,CHA,2010
32,Boris Diaw,PF,6-8,250,April 16 1982,6,,CHA,2010
7,DeSagana Diop,C,7-0,300,January 30 1982,8,,CHA,2010
20,Raymond Felton,PG,6-1,205,June 26 1984,4,University of North Carolina,CHA,2010
23,Stephen Graham,SG,6-6,215,June 11 1982,4,Oklahoma State University,CHA,2010
15,Gerald Henderson,SG,6-5,215,December 9 1987,R,Duke University,CHA,2010
0,Larry Hughes,SG,6-5,184,January 23 1979,11,Saint Louis University,CHA,2010
1,Stephen Jackson,SG,6-8,218,April 5 1978,9,Butler County Community College,CHA,2010
2,Acie Law,PG,6-3,195,January 25 1985,2,Texas A&amp;M University,CHA,2010
13,Nazr Mohammed,C,6-10,221,September 5 1977,11,University of Kentucky,CHA,2010
22,Ronald Murray,SG,6-4,190,July 29 1979,7,Shaw University,CHA,2010
10,Vladimir Radmanovic,PF,6-10,227,November 19 1980,8,,CHA,2010
42,Theo Ratliff,C,6-10,225,April 17 1973,14,University of Wyoming,CHA,2010
12,Tyrus Thomas,C,6-9,215,August 17 1986,3,Louisiana State University,CHA,2010
3,Gerald Wallace,SF,6-7,215,July 23 1982,8,University of Alabama,CHA,2010
CHA,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2011
14,D.J. Augustin,PG,6-0,183,November 10 1987,2,University of Texas at Austin,CHA,2011
4,Derrick Brown,SF,6-7,225,September 8 1987,1,Xavier University,CHA,2011
54,Kwame Brown,C,6-11,270,March 10 1982,9,,CHA,2011
33,Matt Carroll,SG,6-6,212,August 28 1980,7,University of Notre Dame,CHA,2011
11,Sherron Collins,PG,5-11,205,March 18 1987,R,University of Kansas,CHA,2011
44,Dante Cunningham,PF,6-8,230,April 22 1987,1,Villanova University,CHA,2011
32,Boris Diaw,PF,6-8,250,April 16 1982,7,,CHA,2011
7,DeSagana Diop,C,7-0,300,January 30 1982,9,,CHA,2011
15,Gerald Henderson,SG,6-5,215,December 9 1987,1,Duke University,CHA,2011
1,Stephen Jackson,SG,6-8,218,April 5 1978,10,Butler County Community College,CHA,2011
2,Shaun Livingston,PG,6-7,182,September 11 1985,5,,CHA,2011
5,Dominic McGuire,SF,6-9,220,October 20 1985,3,California State University Fresno,CHA,2011
13,Nazr Mohammed,C,6-10,221,September 5 1977,12,University of Kentucky,CHA,2011
21,Eduardo Najera,PF,6-8,240,July 11 1976,10,University of Oklahoma,CHA,2011
10,Joel Przybilla,C,7-1,255,October 10 1979,10,University of Minnesota,CHA,2011
41,Garrett Temple,PG,6-6,195,May 8 1986,1,Louisiana State University,CHA,2011
12,Tyrus Thomas,C,6-9,215,August 17 1986,4,Louisiana State University,CHA,2011
3,Gerald Wallace,SF,6-7,215,July 23 1982,9,University of Alabama,CHA,2011
8,D.J. White,C,6-9,251,August 31 1986,2,Indiana University,CHA,2011
CHA,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CHA,2012
14,D.J. Augustin,PG,6-0,183,November 10 1987,3,University of Texas at Austin,CHA,2012
0,Bismack Biyombo,C,6-9,245,August 28 1992,R,,CHA,2012
4,Derrick Brown,SF,6-7,225,September 8 1987,2,Xavier University,CHA,2012
33,Matt Carroll,SG,6-6,212,August 28 1980,8,University of Notre Dame,CHA,2012
32,Boris Diaw,PF,6-8,250,April 16 1982,8,,CHA,2012
7,DeSagana Diop,C,7-0,300,January 30 1982,10,,CHA,2012
15,Gerald Henderson,SG,6-5,215,December 9 1987,2,Duke University,CHA,2012
11,Cory Higgins,PG,6-5,180,June 14 1989,R,University of Colorado,CHA,2012
50,Corey Maggette,SF,6-6,218,November 12 1979,12,Duke University,CHA,2012
9,Jamario Moon,SF,6-8,205,June 13 1980,4,Meridian Community College,CHA,2012
22,Byron Mullens,C,7-0,275,February 14 1989,2,Ohio State University,CHA,2012
