SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
41999,1610612763,Vancouver Grizzlies,82,22,60,0.268,3971,99.7,105.3,-5.6,0.588,1.23,16.3,0.301,0.706,0.502,0.179,0.474,0.524,93.53,0.457,10,Vancouver Grizzlies
41999,1610612764,Washington Wizards,82,29,53,0.354,3961,100.7,104.1,-3.4,0.588,1.34,16.6,0.306,0.717,0.509,0.168,0.476,0.521,95.32,0.471,10,Washington Wizards
42000,1610612737,Atlanta Hawks,82,25,57,0.305,3946,95.6,101.9,-6.3,0.542,1.14,15,0.289,0.708,0.497,0.175,0.456,0.5,94.54,0.452,10,Atlanta Hawks
42000,1610612738,Boston Celtics,82,36,46,0.439,3966,99,100.9,-1.9,0.616,1.33,16.4,0.253,0.727,0.48,0.164,0.473,0.521,95.01,0.468,10,Boston Celtics
42000,1610612766,Charlotte Hornets,82,46,36,0.561,3976,99.3,96.3,3,0.679,1.61,18,0.298,0.745,0.522,0.156,0.457,0.506,92.04,0.527,10,Charlotte Hornets
42000,1610612741,Chicago Bulls,82,15,67,0.183,3971,94.3,104.9,-10.6,0.665,1.4,17.5,0.266,0.703,0.476,0.17,0.45,0.495,91.72,0.432,10,Chicago Bulls
42000,1610612739,Cleveland Cavaliers,82,30,52,0.366,3966,97.4,102,-4.6,0.591,1.27,16.3,0.297,0.711,0.505,0.174,0.459,0.509,93.92,0.469,10,Cleveland Cavaliers
42000,1610612742,Dallas Mavericks,82,53,29,0.646,3961,104.5,100.1,4.4,0.564,1.52,16.6,0.241,0.707,0.48,0.145,0.498,0.544,95.52,0.523,10,Dallas Mavericks
42000,1610612743,Denver Nuggets,82,40,42,0.488,3956,101.1,103.1,-2,0.661,1.73,18.2,0.283,0.718,0.498,0.145,0.47,0.511,95.32,0.48,10,Denver Nuggets
42000,1610612765,Detroit Pistons,82,32,50,0.39,3971,97.3,98.9,-1.6,0.558,1.25,15.1,0.293,0.722,0.503,0.162,0.453,0.498,97.46,0.48,10,Detroit Pistons
42000,1610612744,Golden State Warriors,82,17,65,0.207,3956,94.5,104.9,-10.4,0.609,1.37,16,0.333,0.697,0.5,0.162,0.429,0.47,96.8,0.427,10,Golden State Warriors
42000,1610612745,Houston Rockets,82,45,37,0.549,3966,103.6,101.7,1.9,0.548,1.34,15.8,0.275,0.719,0.503,0.156,0.492,0.538,92.91,0.509,10,Houston Rockets
42000,1610612754,Indiana Pacers,82,41,41,0.5,3996,99.4,99.2,0.2,0.623,1.42,17.1,0.27,0.714,0.499,0.163,0.471,0.519,91.93,0.51,10,Indiana Pacers
42000,1610612746,Los Angeles Clippers,82,31,51,0.378,4006,98.4,101.8,-3.5,0.547,1.23,15.5,0.283,0.711,0.503,0.168,0.476,0.514,92.15,0.476,10,Los Angeles Clippers
42000,1610612747,Los Angeles Lakers,82,56,26,0.683,3981,105.6,101.7,3.9,0.607,1.59,17.5,0.311,0.725,0.52,0.152,0.498,0.535,94.33,0.532,10,Los Angeles Lakers
42000,1610612748,Miami Heat,82,50,32,0.61,3976,98.6,95.7,2.9,0.605,1.45,16.6,0.243,0.727,0.486,0.152,0.469,0.515,89.42,0.523,10,Miami Heat
42000,1610612749,Milwaukee Bucks,82,52,30,0.634,3956,106.3,101.2,5.1,0.593,1.64,17.4,0.281,0.711,0.498,0.145,0.499,0.542,94.75,0.519,10,Milwaukee Bucks
42000,1610612750,Minnesota Timberwolves,82,47,35,0.573,3966,102.7,100.7,2.1,0.662,1.83,19.2,0.286,0.719,0.5,0.146,0.482,0.523,94.33,0.518,10,Minnesota Timberwolves
42000,1610612751,New Jersey Nets,82,26,56,0.317,3946,96.9,103,-6.1,0.576,1.33,15.6,0.257,0.7,0.473,0.155,0.452,0.504,94.46,0.446,10,New Jersey Nets
